state,state_name,priority_rank,estab,emp,payann,cbp_year
CA,California,1,86763,870789,73320822,2023
FL,Florida,2,68008,561420,36000487,2023
TX,Texas,3,56287,791588,59748235,2023
NY,New York,4,51349,371275,30794364,2023
IL,Illinois,5,29457,229716,20729668,2023
PA,Pennsylvania,6,28752,260932,20205986,2023
NC,North Carolina,7,28390,249407,17092719,2023
WA,Washington,8,27190,229133,19049135,2023
NJ,New Jersey,9,22502,174045,14935263,2023
GA,Georgia,10,22475,216909,16125142,2023
MA,Massachusetts,11,21631,163600,15182739,2023
OH,Ohio,12,21399,218060,16759588,2023
MI,Michigan,13,21298,181952,14733040,2023
VA,Virginia,14,21118,206469,15147296,2023
CO,Colorado,15,20473,188263,14496956,2023
MN,Minnesota,16,17568,144692,13287519,2023
AZ,Arizona,17,15551,208755,15190826,2023
IN,Indiana,18,14935,156037,11659924,2023
OR,Oregon,19,14907,115773,8874069,2023
WI,Wisconsin,20,14679,133159,11121366,2023
MO,Missouri,21,14570,149699,11606357,2023
MD,Maryland,22,14528,167451,12881129,2023
UT,Utah,23,13022,117792,7967480,2023
TN,Tennessee,24,12692,145006,10306642,2023
SC,South Carolina,25,11981,99054,6612008,2023
ID,Idaho,26,9895,62048,3807198,2023
IA,Iowa,27,9067,74180,5609701,2023
AL,Alabama,28,8982,103761,6873985,2023
OK,Oklahoma,29,8966,78793,4979114,2023
LA,Louisiana,30,8900,148741,10611760,2023
KY,Kentucky,31,8201,81842,5558160,2023
CT,Connecticut,32,8152,61816,5208507,2023
KS,Kansas,33,7398,73436,5110448,2023
NE,Nebraska,34,6931,57175,3867301,2023
MT,Montana,35,6766,34284,2452351,2023
AR,Arkansas,36,6366,58830,3612405,2023
NV,Nevada,37,5975,102903,7677347,2023
ME,Maine,38,5826,31259,2084571,2023
NH,New Hampshire,39,4949,33634,2755870,2023
NM,New Mexico,40,4638,46332,2870295,2023
MS,Mississippi,41,4169,43724,2958203,2023
SD,South Dakota,42,3802,25640,1763082,2023
RI,Rhode Island,43,3528,22240,1739688,2023
WV,West Virginia,44,3149,27174,1734830,2023
WY,Wyoming,45,2981,18196,1273829,2023
ND,North Dakota,46,2946,24696,2113594,2023
HI,Hawaii,47,2924,31002,2654538,2023
VT,Vermont,48,2870,15177,1058982,2023
AK,Alaska,49,2627,17103,1760889,2023
DE,Delaware,50,2518,24194,1764304,2023
DC,District of Columbia,51,506,10303,829804,2023
